EMPRESA;CODIGO TIENDA;TIENDA;COMUNA;ZONA;JEFE_ZONAL;UBICACION;CORREO;ROL
FASHIONS PARK;T027;PEÑAFLOR;PENAFLOR;RM_2;JUAN ESCOBAR;CALLE;j01.penaflor@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T028;MALL PLAZA VESPUCIO;LA FLORIDA;RM_2;JUAN ESCOBAR;MALL;j01vespu@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T029;MALL VIVO TEMUCO;TEMUCO;SUR_3;JUAN P. VILLANUEVA;MALL;j01vivotemuco@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T031;SAN BERNARDO II;SAN BERNARDO;RM_2;JUAN ESCOBAR;CALLE;j01.sanbernardodos@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T033;MALL PLAZA SUR;SAN BERNARDO;RM_2;JUAN ESCOBAR;MALL;j01plazasur@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T034;SAN ANTONIO;SAN ANTONIO;QUINTA REGION;CLAUDIA LEIVA;CALLE;j01.sanantonio@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T035;MALL ARAUCO QUILICURA;QUILICURA;RM_1;NATALIA TRUJILLO;MALL;j01quilicura@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T036;SAN FELIPE;SAN FELIPE;QUINTA REGION;CLAUDIA LEIVA;CALLE;j01.felipe@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T037;COYHAIQUE;COYHAIQUE;SUR_3;JUAN P. VILLANUEVA;CALLE;j01.coyhaique@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T038;MALL PLAZA COPIAPO;COPIAPO;NORTE_2;JOCELYN CASTILLO;MALL;j01.plazacopiapo@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T039;MALL PLAZA TOBALABA;PUENTE ALTO;RM_2;JUAN ESCOBAR;MALL;j01toba@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T040;COQUIMBO;COQUIMBO;NORTE_2;JOCELYN CASTILLO;CALLE;j01coquimbo@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T041;MELIPILLA;MELIPILLA;RM_3;NELSON CORNEJO;CALLE;j01.melipilla@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T042;ANTOFAGASTA;ANTOFAGASTA;NORTE_1;BRYAN GORDILLO;CALLE;j01.antofagasta2@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T043;MALL PLAZA OESTE;CERRILLOS;RM_2;JUAN ESCOBAR;MALL;j01oeste@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T044;MALL PLAZA NORTE;HUECHURABA;RM_1;NATALIA TRUJILLO;MALL;j01.plazanorte@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T045;IQUIQUE;IQUIQUE;NORTE_1;BRYAN GORDILLO;CALLE;j01.iquique@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T046;PANAMERICANA;CONCHALI;RM_1;NATALIA TRUJILLO;CALLE;j01panamericana@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T048;MALL PLAZA ANTOFAGASTA;ANTOFAGASTA;NORTE_1;BRYAN GORDILLO;MALL;j01antofa@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T049;MALL PLAZA CALAMA;CALAMA;NORTE_1;BRYAN GORDILLO;MALL;j01calama@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T050;LINARES;LINARES;SUR_1;NELSON CORNEJO;CALLE;j01lina@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T051;MALL BARRIO INDEPENDENCIA;INDEPENDENCIA;RM_1;NATALIA TRUJILLO;MALL;j01.independencia@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T052;ESPACIO URBANO ANTOFAGASTA;ANTOFAGASTA;NORTE_1;BRYAN GORDILLO;MALL;j01.antofagasta.tres@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T053;LOS ANGELES;LOS ANGELES;SUR_2;KATHERINE ROJAS;CALLE;j01angel@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T054;SANTA CRUZ;SANTA CRUZ;SUR_1;NELSON CORNEJO;MALL;j01scruz@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T055;CHILLAN II;CHILLAN;SUR_2;KATHERINE ROJAS;CALLE;j01.chillan.dos@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T056;LINCOYAN;CONCEPCION;SUR_2;KATHERINE ROJAS;CALLE;j01linco@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T057;TEMUCO;TEMUCO;SUR_3;JUAN P. VILLANUEVA;CALLE;j01temu@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T058;SAN CARLOS;SAN CARLOS;SUR_2;KATHERINE ROJAS;CALLE;j01.sancarlos@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T059;MALL PLAZA TREBOL;TALCAHUANO;SUR_2;KATHERINE ROJAS;MALL;j01treb2@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T060;PUENTE ALTO CENTRO;PUENTE ALTO;RM_2;JUAN ESCOBAR;CALLE;j01.palto.dos@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T061;RANCAGUA;RANCAGUA;SUR_1;NELSON CORNEJO;CALLE;j01rcgua@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T062;CALERA;LA CALERA;QUINTA REGION;CLAUDIA LEIVA;MALL;j01.lacalera@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T063;ANIBAL PINTO II;CONCEPCION;SUR_2;KATHERINE ROJAS;CALLE;j01.anibalpinto2@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T064;ALTO HOSPICIO;ALTO HOSPICIO;NORTE_1;BRYAN GORDILLO;MALL;j01.hospicio@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T065;SAN BERNARDO;SAN BERNARDO;RM_2;JUAN ESCOBAR;CALLE;j01berna@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T066;INTERMODAL LA CISTERNA;LA CISTERNA;RM_2;JUAN ESCOBAR;MALL;j01.lacisterna@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T068;MALL PASEO ROSS;VALPARAISO;QUINTA REGION;CLAUDIA LEIVA;MALL;j01.ross@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T070;CHILLAN;CHILLAN;SUR_2;KATHERINE ROJAS;CALLE;j01chill@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T071;TALCA;TALCA;SUR_1;NELSON CORNEJO;CALLE;j01talca@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T074;PLAZA DE ARMAS;SANTIAGO;RM_1;NATALIA TRUJILLO;CALLE;j01.parmas@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T075;SAN JAVIER;SAN JAVIER;SUR_1;NELSON CORNEJO;CALLE;j01.sanjavier@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T077;PASEO PUENTE;SANTIAGO;RM_1;NATALIA TRUJILLO;CALLE;j01.paseopuente@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T078;ANGOL;ANGOL;SUR_3;JUAN P. VILLANUEVA;CALLE;j01.angol@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T079;CALAMA II;CALAMA;NORTE_1;BRYAN GORDILLO;CALLE;j01.calama.dos@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T080;LA LIGUA;LA LIGUA;QUINTA REGION;CLAUDIA LEIVA;CALLE;j01.laligua@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T081;MALL MARINA ARAUCO;VINA DEL MAR;QUINTA REGION;CLAUDIA LEIVA;MALL;j01marau@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T083;LINARES II;LINARES;SUR_1;NELSON CORNEJO;CALLE;j01.linarescentro@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T084;BUIN;BUIN;RM_2;JUAN ESCOBAR;CALLE;j01buin2@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T085;COPIAPO;COPIAPO;NORTE_2;JOCELYN CASTILLO;CALLE;j01cop2@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T086;MALL ARAUCO MAIPU;MAIPU;RM_1;NATALIA TRUJILLO;MALL;j01maipu@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T087;PLAZA VICTORIA;VALPARAISO;QUINTA REGION;CLAUDIA LEIVA;CALLE;j01valpo@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T088;PUERTO MONTT;PUERTO MONTT;SUR_3;JUAN P. VILLANUEVA;CALLE;j01varas@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T089;OSORNO;OSORNO;SUR_3;JUAN P. VILLANUEVA;CALLE;j01osorn@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T090;PUERTA DEL MAR;LA SERENA;NORTE_2;JOCELYN CASTILLO;MALL;j01.pmar@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T091;QUILPUE;QUILPUE;QUINTA REGION;CLAUDIA LEIVA;CALLE;j01quil3@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T092;LOS ANGELES II;LOS ANGELES;SUR_2;KATHERINE ROJAS;CALLE;j01.angeles.dos@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T093;BUIN III;BUIN;RM_2;JUAN ESCOBAR;CALLE;j01.buintres@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T094;SANTA ROSA;SANTIAGO;RM_1;NATALIA TRUJILLO;CALLE;j01srosa@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T095;LA SERENA;LA SERENA;NORTE_2;JOCELYN CASTILLO;CALLE;j01serena@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T096;BARROS ARANA;CONCEPCION;SUR_2;KATHERINE ROJAS;CALLE;j01baran2@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T097;MALL ARAUCO PASEO ESTACION;ESTACION CENTRAL;RM_1;NATALIA TRUJILLO;MALL;j01borja@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T098;IRARRAZAVAL;NUNOA;RM_1;NATALIA TRUJILLO;CALLE;j01irarrazaval@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T099;VALDIVIA;VALDIVIA;SUR_3;JUAN P. VILLANUEVA;CALLE;j01.valdivia@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T104;MALL QUILPUE;QUILPUE;QUINTA REGION;CLAUDIA LEIVA;CALLE;j01.plazaquilpue@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T105;FLORIDA CENTER;LA FLORIDA;RM_2;JUAN ESCOBAR;MALL;j01.florida@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T106;LA UNION;LA UNION;SUR_3;JUAN P. VILLANUEVA;CALLE;j01.launion@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T107;RIO BUENO;RIO BUENO;SUR_3;JUAN P. VILLANUEVA;CALLE;j01.riobueno@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T108;ARICA III;ARICA;NORTE_1;BRYAN GORDILLO;CALLE;j01.arica.tres@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T109;CAÑETE II;CANETE;SUR_2;KATHERINE ROJAS;CALLE;j01.canete.dos@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T110;OPEN PLAZA OVALLE;OVALLE;NORTE_2;JOCELYN CASTILLO;CALLE;j01.plazaovalle@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T111;PASEO QUILIN;PENALOLEN;RM_2;JUAN ESCOBAR;MALL;j01.quilin@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T112;LOS ANDES;LOS ANDES;QUINTA REGION;CLAUDIA LEIVA;CALLE;j01.losandes@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T113;SAN FERNANDO;SAN FERNANDO;SUR_1;NELSON CORNEJO;CALLE;j01.sanfernando@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T114;VIVO CHILLAN;CHILLAN;SUR_2;KATHERINE ROJAS;MALL;j01.vivochillan@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T115;CONCEPCION CENTRO;CONCEPCION;SUR_2;KATHERINE ROJAS;CALLE;j01.concepcion@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T116;VILLARRICA II;VILLARRICA;SUR_3;JUAN P. VILLANUEVA;CALLE;j01.villarrica.dos@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T118;PUNTA ARENAS;PUNTA ARENAS;SUR_3;JUAN P. VILLANUEVA;CALLE;j01.puntaarenas@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T119;HUERFANOS;SANTIAGO;RM_1;NATALIA TRUJILLO;CALLE;j01.huerfanos@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T120;RENGO;SANTA CRUZ;SUR_1;NELSON CORNEJO;CALLE;j01.rengo@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T121;ILLAPEL CENTRO;ILLAPEL;NORTE_2;JOCELYN CASTILLO;MALL;j01.illapelcentro@fashionspark.com;Jefe de Tienda
HOLLY CONCEPT;H002;PUERTA DEL MAR;LA SERENA;HOLLY;RENE VARAS;MALL;hc.pmar@hollyconcept.com;Jefe de Tienda
HOLLY CONCEPT;H003;PASEO ROSS;VALPARAISO;HOLLY;RENE VARAS;MALL;hc.ross@hollyconcept.com;Jefe de Tienda
HOLLY CONCEPT;H004;PLAZA ALAMEDA;ESTACION CENTRAL;HOLLY;RENE VARAS;MALL;hc.palameda@hollyconcept.com;Jefe de Tienda
HOLLY CONCEPT;H005;PLAZA OESTE;CERRILLOS;HOLLY;RENE VARAS;MALL;hc.poeste@hollyconcept.com;Jefe de Tienda
HOLLY CONCEPT;H006;PLAZA TOBALABA;PUENTE ALTO;HOLLY;RENE VARAS;MALL;hc.ptobalaba@hollyconcept.com;Jefe de Tienda
HOLLY CONCEPT;H007;PLAZA EGAÑA;LA REINA;HOLLY;RENE VARAS;MALL;hc.pegana@hollyconcept.com;Jefe de Tienda
HOLLY CONCEPT;H008;PLAZA COPIAPO;COPIAPO;HOLLY;RENE VARAS;MALL;hc.pcopiapo@hollyconcept.com;Jefe de Tienda
HOLLY CONCEPT;H009;PLAZA SUR;SAN BERNARDO;HOLLY;RENE VARAS;MALL;hc.psur@hollyconcept.com;Jefe de Tienda
HOLLY CONCEPT;H010;PLAZA VESPUCIO;LA FLORIDA;HOLLY;RENE VARAS;MALL;hc.pvespucio@hollyconcept.com;Jefe de Tienda
HOLLY CONCEPT;H011;PLAZA NORTE;HUECHURABA;HOLLY;RENE VARAS;MALL;hc.pnorte@hollyconcept.com;Jefe de Tienda
HOLLY CONCEPT;H012;PLAZA EL TREBOL;TALCAHUANO;HOLLY;RENE VARAS;MALL;hc.ptrebol@hollyconcept.com;Jefe de Tienda
HOLLY CONCEPT;H013;MALL MARINA;VINA DEL MAR;HOLLY;RENE VARAS;MALL;hc.marauco@hollyconcept.com;Jefe de Tienda
HOLLY CONCEPT;H014;PLAZA MAULE;TALCA;HOLLY;RENE VARAS;MALL;hc.pmaule@hollyconcept.com;Jefe de Tienda
HOLLY CONCEPT;H015;FLORIDA CENTER;LA FLORIDA;HOLLY;RENE VARAS;MALL;hc.florida@hollyconcept.com;Jefe de Tienda
HOLLY CONCEPT;H026;TIENDA INTERNET HC;CONCHALI;ECOMMERCE;CRISTIAN NARANJO;ECOMMERCE;cristian.naranjo@fashionspark.com;Jefe de Tienda
HOLLY CONCEPT;C001;PLAZA CHICUREO ;CHICUREO ;RM_1;RICARDO VIDELA ;MALL;rvidela@asmcontrol.cl;Jefe de Tienda
